team_key,school,nickname,current_power4_conference,city,state,location,season,season_conference,wins,losses,ties,games,record,win_pct,record_basis,location_source_url,season_record_source_url
2,California,Golden Bears,ACC,Berkeley,CA,"Berkeley, CA",2020,Pac-12,1,3,0,4,1-3,0.25,straight-up all-games record from BetIQ/TeamRankings season table,https://en.wikipedia.org/wiki/List_of_NCAA_Division_I_FBS_football_programs,https://betiq.teamrankings.com/college-football/betting-trends/win-loss-records/?season=2020
2,California,Golden Bears,ACC,Berkeley,CA,"Berkeley, CA",2021,Pac-12,5,7,0,12,5-7,0.417,straight-up all-games record from BetIQ/TeamRankings season table,https://en.wikipedia.org/wiki/List_of_NCAA_Division_I_FBS_football_programs,https://betiq.teamrankings.com/college-football/betting-trends/win-loss-records/?season=2021
2,California,Golden Bears,ACC,Berkeley,CA,"Berkeley, CA",2022,Pac-12,4,8,0,12,4-8,0.333,straight-up all-games record from BetIQ/TeamRankings season table,https://en.wikipedia.org/wiki/List_of_NCAA_Division_I_FBS_football_programs,https://betiq.teamrankings.com/college-football/betting-trends/win-loss-records/?season=2022
2,California,Golden Bears,ACC,Berkeley,CA,"Berkeley, CA",2023,Pac-12,6,7,0,13,6-7,0.462,straight-up all-games record from BetIQ/TeamRankings season table,https://en.wikipedia.org/wiki/List_of_NCAA_Division_I_FBS_football_programs,https://betiq.teamrankings.com/college-football/betting-trends/win-loss-records/?season=2023
2,California,Golden Bears,ACC,Berkeley,CA,"Berkeley, CA",2024,ACC,6,7,0,13,6-7,0.462,straight-up all-games record from BetIQ/TeamRankings season table,https://en.wikipedia.org/wiki/List_of_NCAA_Division_I_FBS_football_programs,https://betiq.teamrankings.com/college-football/betting-trends/win-loss-records/?season=2024
2,California,Golden Bears,ACC,Berkeley,CA,"Berkeley, CA",2025,ACC,7,6,0,13,7-6,0.538,straight-up all-games record from BetIQ/TeamRankings season table,https://en.wikipedia.org/wiki/List_of_NCAA_Division_I_FBS_football_programs,https://betiq.teamrankings.com/college-football/betting-trends/win-loss-records/?season=2025
3,Clemson,Tigers,ACC,Clemson,SC,"Clemson, SC",2010,ACC,6,7,0,13,6-7,0.462,straight-up all-games record from BetIQ/TeamRankings season table,https://en.wikipedia.org/wiki/List_of_NCAA_Division_I_FBS_football_programs,https://betiq.teamrankings.com/college-football/betting-trends/win-loss-records/?season=2010
3,Clemson,Tigers,ACC,Clemson,SC,"Clemson, SC",2011,ACC,10,4,0,14,10-4,0.714,straight-up all-games record from BetIQ/TeamRankings season table,https://en.wikipedia.org/wiki/List_of_NCAA_Division_I_FBS_football_programs,https://betiq.teamrankings.com/college-football/betting-trends/win-loss-records/?season=2011
3,Clemson,Tigers,ACC,Clemson,SC,"Clemson, SC",2012,ACC,11,2,0,13,11-2,0.846,straight-up all-games record from BetIQ/TeamRankings season table,https://en.wikipedia.org/wiki/List_of_NCAA_Division_I_FBS_football_programs,https://betiq.teamrankings.com/college-football/betting-trends/win-loss-records/?season=2012
3,Clemson,Tigers,ACC,Clemson,SC,"Clemson, SC",2013,ACC,10,2,0,12,10-2,0.833,straight-up all-games record from BetIQ/TeamRankings season table,https://en.wikipedia.org/wiki/List_of_NCAA_Division_I_FBS_football_programs,https://betiq.teamrankings.com/college-football/betting-trends/win-loss-records/?season=2013
3,Clemson,Tigers,ACC,Clemson,SC,"Clemson, SC",2014,ACC,10,3,0,13,10-3,0.769,listed overall record on season standings page,https://en.wikipedia.org/wiki/List_of_NCAA_Division_I_FBS_football_programs,https://en.wikipedia.org/wiki/2014_NCAA_Division_I_FBS_football_season#Conference_standings
3,Clemson,Tigers,ACC,Clemson,SC,"Clemson, SC",2015,ACC,14,1,0,15,14-1,0.933,listed overall record on season standings page,https://en.wikipedia.org/wiki/List_of_NCAA_Division_I_FBS_football_programs,https://en.wikipedia.org/wiki/2015_NCAA_Division_I_FBS_football_season#Conference_standings
3,Clemson,Tigers,ACC,Clemson,SC,"Clemson, SC",2016,ACC,14,1,0,15,14-1,0.933,listed overall record on season standings page,https://en.wikipedia.org/wiki/List_of_NCAA_Division_I_FBS_football_programs,https://en.wikipedia.org/wiki/2016_NCAA_Division_I_FBS_football_season#Conference_standings
3,Clemson,Tigers,ACC,Clemson,SC,"Clemson, SC",2017,ACC,12,2,0,14,12-2,0.857,listed overall record on season standings page,https://en.wikipedia.org/wiki/List_of_NCAA_Division_I_FBS_football_programs,https://en.wikipedia.org/wiki/2017_NCAA_Division_I_FBS_football_season#Conference_standings
3,Clemson,Tigers,ACC,Clemson,SC,"Clemson, SC",2018,ACC,15,0,0,15,15-0,1.0,straight-up all-games record from BetIQ/TeamRankings season table,https://en.wikipedia.org/wiki/List_of_NCAA_Division_I_FBS_football_programs,https://betiq.teamrankings.com/college-football/betting-trends/win-loss-records/?season=2018
3,Clemson,Tigers,ACC,Clemson,SC,"Clemson, SC",2019,ACC,14,1,0,15,14-1,0.933,straight-up all-games record from BetIQ/TeamRankings season table,https://en.wikipedia.org/wiki/List_of_NCAA_Division_I_FBS_football_programs,https://betiq.teamrankings.com/college-football/betting-trends/win-loss-records/?season=2019
3,Clemson,Tigers,ACC,Clemson,SC,"Clemson, SC",2020,ACC,10,2,0,12,10-2,0.833,straight-up all-games record from BetIQ/TeamRankings season table,https://en.wikipedia.org/wiki/List_of_NCAA_Division_I_FBS_football_programs,https://betiq.teamrankings.com/college-football/betting-trends/win-loss-records/?season=2020
3,Clemson,Tigers,ACC,Clemson,SC,"Clemson, SC",2021,ACC,10,3,0,13,10-3,0.769,straight-up all-games record from BetIQ/TeamRankings season table,https://en.wikipedia.org/wiki/List_of_NCAA_Division_I_FBS_football_programs,https://betiq.teamrankings.com/college-football/betting-trends/win-loss-records/?season=2021
3,Clemson,Tigers,ACC,Clemson,SC,"Clemson, SC",2022,ACC,11,3,0,14,11-3,0.786,straight-up all-games record from BetIQ/TeamRankings season table,https://en.wikipedia.org/wiki/List_of_NCAA_Division_I_FBS_football_programs,https://betiq.teamrankings.com/college-football/betting-trends/win-loss-records/?season=2022
3,Clemson,Tigers,ACC,Clemson,SC,"Clemson, SC",2023,ACC,9,4,0,13,9-4,0.692,straight-up all-games record from BetIQ/TeamRankings season table,https://en.wikipedia.org/wiki/List_of_NCAA_Division_I_FBS_football_programs,https://betiq.teamrankings.com/college-football/betting-trends/win-loss-records/?season=2023
3,Clemson,Tigers,ACC,Clemson,SC,"Clemson, SC",2024,ACC,10,4,0,14,10-4,0.714,straight-up all-games record from BetIQ/TeamRankings season table,https://en.wikipedia.org/wiki/List_of_NCAA_Division_I_FBS_football_programs,https://betiq.teamrankings.com/college-football/betting-trends/win-loss-records/?season=2024
3,Clemson,Tigers,ACC,Clemson,SC,"Clemson, SC",2025,ACC,7,6,0,13,7-6,0.538,straight-up all-games record from BetIQ/TeamRankings season table,https://en.wikipedia.org/wiki/List_of_NCAA_Division_I_FBS_football_programs,https://betiq.teamrankings.com/college-football/betting-trends/win-loss-records/?season=2025
