GEOID,NAME,sports_name,sports_team_count,has_NFL,has_NBA,has_MLB,has_NHL,has_pro_team,power4_school_count,has_power4_school,power4_school_list
35380,"New Orleans-Metairie, LA Metro Area","New Orleans-Metairie, LA Metro Area",2,1,1,0,0,1,0,0,NA
35620,"New York-Northern New Jersey-Long Island, NY-NJ-PA Metro Area","New York-Newark-Jersey City, NY-NJ Metro Area",9,1,1,1,1,1,0,0,NA
35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area","New York-Newark-Jersey City, NY-NJ Metro Area",9,1,1,1,1,1,0,0,NA
35620,"New York-Newark-Jersey City, NY-NJ Metro Area","New York-Newark-Jersey City, NY-NJ Metro Area",9,1,1,1,1,1,1,1,Rutgers
36420,"Oklahoma City, OK Metro Area","Oklahoma City, OK Metro Area",1,0,1,0,0,1,1,1,Oklahoma
36740,"Orlando-Kissimmee-Sanford, FL Metro Area","Orlando-Kissimmee-Sanford, FL Metro Area",1,0,1,0,0,1,1,1,UCF
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",4,1,1,1,1,1,0,0,NA
38060,"Phoenix-Mesa-Glendale, AZ Metro Area","Phoenix-Mesa-Chandler, AZ Metro Area",4,1,1,1,1,1,0,0,NA
38060,"Phoenix-Mesa-Scottsdale, AZ Metro Area","Phoenix-Mesa-Chandler, AZ Metro Area",4,1,1,1,1,1,0,0,NA
38060,"Phoenix-Mesa-Chandler, AZ Metro Area","Phoenix-Mesa-Chandler, AZ Metro Area",4,1,1,1,1,1,1,1,Arizona State
38300,"Pittsburgh, PA Metro Area","Pittsburgh, PA Metro Area",3,1,0,1,1,1,1,1,Pittsburgh
38900,"Portland-Vancouver-Hillsboro, OR-WA Metro Area","Portland-Vancouver-Hillsboro, OR-WA Metro Area",1,0,1,0,0,1,0,0,NA
39340,"Provo-Orem-Lehi, UT Metro Area",NA,0,0,0,0,0,0,1,1,BYU
39580,"Raleigh, NC Metro Area",NA,0,0,0,0,0,0,1,1,NC State
40900,"Sacramento--Arden-Arcade--Roseville, CA Metro Area","Sacramento-Roseville-Folsom, CA Metro Area",1,0,1,0,0,1,0,0,NA
40900,"Sacramento--Roseville--Arden-Arcade, CA Metro Area","Sacramento-Roseville-Folsom, CA Metro Area",1,0,1,0,0,1,0,0,NA
40900,"Sacramento-Roseville-Folsom, CA Metro Area","Sacramento-Roseville-Folsom, CA Metro Area",1,0,1,0,0,1,0,0,NA
41180,"St. Louis, MO-IL Metro Area","St. Louis, MO-IL Metro Area",2,1,0,1,1,1,0,0,NA
41620,"Salt Lake City, UT Metro Area","Salt Lake City-Murray, UT Metro Area",2,0,1,0,1,1,0,0,NA
41620,"Salt Lake City-Murray, UT Metro Area","Salt Lake City-Murray, UT Metro Area",2,0,1,0,1,1,1,1,Utah
41700,"San Antonio-New Braunfels, TX Metro Area","San Antonio-New Braunfels, TX Metro Area",1,0,1,0,0,1,0,0,NA
41740,"San Diego-Carlsbad-San Marcos, CA Metro Area","San Diego-Chula Vista-Carlsbad, CA Metro Area",1,0,0,1,0,1,0,0,NA
41740,"San Diego-Carlsbad, CA Metro Area","San Diego-Chula Vista-Carlsbad, CA Metro Area",1,0,0,1,0,1,0,0,NA
