year,GEOID,sports_team_count,has_NFL,has_NBA,has_MLB,has_NHL,has_pro_team,power4_school_count,has_power4_school,mlb_avg_temp,mlb_win_pct,mlb_make_playoffs,mlb_make_playoffs_prev,mlb_murder_rate,nfl_avg_temp,nfl_win_pct,nfl_make_playoffs,nfl_make_playoffs_prev,nfl_murder_rate,nhl_avg_temp,nhl_win_pct,nhl_make_playoffs,nhl_make_playoffs_prev,nhl_murder_rate,cfb_avg_temp,cfb_win_pct,cfb_make_playoffs,cfb_make_playoffs_prev,cfb_murder_rate,median_household_income,labor_force,unemployed,unemployment_rate,median_home_value,median_gross_rent,housing_units,owner_occupied,homeownership_rate,poverty_universe,below_poverty,poverty_rate,edu_universe_25plus,bachelors_plus_rate,total_population,race_white_nonhispanic_rate,race_black_nonhispanic_rate,race_aian_nonhispanic_rate,race_asian_nonhispanic_rate,race_nhpi_nonhispanic_rate,race_other_nonhispanic_rate,race_two_plus_nonhispanic_rate,hispanic_or_latino_rate,pop_under_18_rate,pop_18_to_64_rate,pop_65plus_rate
2012,31180,0,0,0,0,0,0,1,1,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,0.615,0,0,5.54,43800,147778,9566,6.473223348536318,105900,760,106986,63676,59.518067784569936,271946,54542,20.05618762548447,167191,27.085189992284274,284439,56.97214516996615,6.666455725129114,0.26262221425331966,1.931521345525754,0.15047163012104528,0.09597839958655457,1.4621764244706246,32.45862909094745,24.2818319569398,64.49889079908169,11.219277243978498
2012,31540,0,0,0,0,0,0,1,1,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,0.571,0,0,1.87,61006,337955,18786,5.558728233048779,223300,866,236610,147438,62.31266641308483,554471,65493,11.81179899399608,375217,42.129754248874654,570687,83.73749533457044,4.334425000043806,0.21062333643485834,4.1302850774592725,0.013842964707449092,0.06658641251684373,2.1397017980083652,5.367040076258965,21.885902429878374,67.1325963268832,10.981501243238414
2012,31740,0,0,0,0,0,0,1,1,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,0.846,0,0,1.22,46858,70194,2775,3.9533293443884094,153900,829,45799,22950,50.11026441625363,116948,19509,16.681773095734854,67171,34.75458159026961,127657,76.26765473103707,8.25493314115168,0.46844278026273534,3.6417901094338734,0.18800379140979342,0.039950805674581105,3.253248940520301,7.88597570050996,23.395505142687046,68.45609719796016,8.148397659352797
2012,32820,1,0,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47477,665362,73271,11.012200877116516,136800,824,480924,307495,63.93837695768978,1290721,242548,18.791667602835936,839171,25.415439761383556,1317314,46.177069400310025,45.14534879307439,0.14795257622708025,1.8770771433386422,0.04729320420188353,0.12479940242037967,1.553843654588048,4.926615825839549,26.54295027609211,62.80120001761159,10.655849706296298
2012,33100,4,1,1,1,1,1,0,0,77,69,0,0,8.25,77,0.438,0,0,9.5,77,0.375,0,1,9.28,NA,0.583,0,0,2.69,48582,2895800,326232,11.265695144692312,213000,1118,2015983,1292819,64.12846735314733,5515994,889830,16.131815951939036,3887042,28.96017074165908,5598297,34.95625544696897,19.857556681969534,0.12060810635805853,2.2464688815187905,0.04167338746050808,0.2900346301741405,1.0419775871126522,41.445425278437355,21.536942395160526,62.45892277597991,16.004134828859563
2012,33340,1,0,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53966,833878,71426,8.565521575098515,202800,804,618680,381817,61.71477985388246,1526193,223176,14.623052261411237,1023496,31.69167246379077,1554593,68.98024113063677,16.37187353860464,0.3440128702496409,2.8973499816350645,0.022899884407044158,0.10099106325578464,1.8288388021816642,9.453792729029399,24.548354456761352,62.7648522796642,12.686793263574453
2012,33460,4,1,1,1,1,1,1,1,46,66,0,0,6.53,46,0.625,1,0,6.83,46,0.573,1,0,6.46,NA,0.462,0,0,6.43,66751,1874208,135855,7.248661834759003,226200,884,1279694,912690,71.32095641614323,3236752,332112,10.260656361686035,2170922,38.39930683829267,3290811,78.58701092223164,7.2075546119178515,0.5284411654148476,5.724120892995678,0.03445959066017465,0.1384765032084796,2.4325006814429635,5.347435632128372,24.899971466000327,64.32991745803695,10.770111075962733
2012,34060,0,0,0,0,0,0,1,1,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,NA,0.538,0,0,1.82,42751,64208,4031,6.278033889857962,136400,671,48557,30473,62.75717198344214,120109,24150,20.106736381120484,79838,29.745234099050577,129888,90.82748213845775,3.2658906134515893,0.12703252032520324,2.4628911061837893,0.03464523281596452,0.12241315594974131,1.4951342695245133,1.664510963291451,16.927660753880268,71.4500184774575,11.622320768662233
2012,34980,3,1,1,0,1,1,1,1,NA,NA,0,0,NA,60,0.375,0,0,8.09,60,0.427,0,1,8.28,NA,0.692,0,0,8.98,52779,847797,68813,8.116683592888393,173700,826,609254,407097,66.818929379208015,1557422,218610,14.036658015618118,1051212,30.81909262831855,1595454,74.01893128852352,15.267315760905673,0.1978747115241179,2.3256703107704766,0.032843316071788975,0.09909405097232513,1.5341087865898986,6.524161774642202,24.335894359849924,64.85207345370031,10.81203218644975
2012,35380,2,1,1,0,0,1,0,0,NA,NA,0,0,NA,70,0.438,0,0,36.88,NA,NA,0,0,NA,NA,NA,0,0,NA,47429,595344,51877,8.713785643258351,178000,919,453883,285336,62.865540238343364,1146828,203336,17.73029608624833,779885,26.492111016367797,1165967,53.898180651768016,33.62239240047102,0.3410902709939475,2.763971879135516,0.045970426264208164,0.2221332164632447,1.2684750082978333,7.8377861466062075,23.366098697476,64.3292648934318,12.304636409092195
